# tau_s	eta_s	t_dec
0.79047928	9.39413e-02	120.493
1.65865784	7.89510e-02	164.739
0.62522865	5.36464e-02	101.725
0.40459123	9.98471e-02	117.466
0.58528159	1.29524e-01	142.001
0.69631785	8.99649e-02	126.396
0.62602611	5.93097e-02	108.326
1.53597685	4.03831e-02	150.047
1.34116749	4.42170e-02	149.842
0.94703984	6.59324e-02	138.910
1.32708213	1.25262e-01	159.655
0.02508159	1.40002e-01	162.941
0.24274596	3.14639e-02	122.146
0.88556638	5.24871e-03	122.610
0.70885059	2.79039e-02	126.506
0.75715078	4.62625e-02	120.428
0.80435312	6.04001e-02	163.951
0.55287502	1.12723e-01	138.670
1.63152465	8.00642e-02	146.475
0.03743180	4.88142e-02	117.714
0.06826765	1.18467e-01	167.707
0.45910230	1.13150e-01	108.373
1.36437245	5.01560e-02	122.489
1.10621554	1.31364e-01	138.317
0.00618710	3.64570e-02	151.012
0.06162203	3.25546e-02	125.030
1.07118415	8.09226e-02	119.599
0.61242509	1.51720e-01	150.576
1.25040535	4.46823e-02	127.724
0.63342426	1.88790e-02	167.636
0.49120238	9.87066e-02	144.877
0.85093450	1.54859e-01	154.428
1.11727183	5.51046e-02	130.182
0.29947645	1.90428e-03	165.481
1.49752489	1.78297e-02	132.672
1.12000982	1.21824e-02	129.651
0.82571079	2.03243e-02	121.824
0.10748391	7.27252e-02	132.986
0.90718655	8.42294e-02	168.322
0.12368318	9.88736e-02	113.803
0.87851115	2.01404e-02	128.521
0.23908619	1.52532e-01	124.277
0.27734686	2.09029e-02	156.226
0.85251407	1.06826e-02	164.973
0.19311231	6.21209e-02	169.395
0.81034513	1.05113e-02	158.134
0.98041892	1.08492e-01	152.480
0.63534290	1.41679e-02	161.014
0.29351983	5.22206e-02	123.917
0.37552484	1.51493e-01	149.462
0.04287837	6.24028e-02	142.403
0.35013499	1.01892e-01	105.218
0.25333605	6.40560e-02	161.370
0.13871488	1.56854e-01	154.224
0.17459033	1.45738e-01	159.015
1.40628146	1.12190e-01	156.751
0.64243623	1.03101e-01	129.966
1.49311012	6.92843e-02	148.388
1.48041777	6.15009e-02	154.500
0.23785893	1.69096e-02	166.490
0.01372219	4.57883e-02	130.591
0.11727832	1.03722e-01	169.903
0.11312347	1.23535e-01	110.972
0.77406641	1.19081e-01	165.272
0.69437933	1.04720e-01	142.230
0.20780995	1.38795e-01	127.586
0.44132622	1.74162e-02	162.001
0.79565231	6.20347e-02	120.145
0.65823969	6.45912e-02	125.088
1.28778754	6.34563e-02	130.882
0.09811946	4.82482e-02	124.409
0.52429651	3.83762e-03	150.241
1.32457488	2.21413e-02	155.411
1.45213046	9.64665e-02	165.050
1.49536116	7.83287e-02	168.699
0.88297858	4.53451e-02	161.496
1.13638183	2.75287e-02	155.766
0.45011390	7.02453e-03	156.665
0.50084183	1.57907e-01	157.443
0.85524134	1.53258e-01	162.050
0.96050357	1.19070e-02	133.853
0.15154088	6.28290e-02	126.656
0.99073275	1.04893e-01	140.734
0.40375960	1.63119e-02	151.215
0.32428550	1.34294e-01	132.911
1.39661809	6.58308e-02	165.989
0.09208770	1.19523e-01	120.999
0.03826679	1.27199e-01	144.201
1.18907346	7.70447e-02	132.266
1.33151018	9.89050e-02	159.602
0.50803323	6.95633e-02	111.704
1.30928601	2.31323e-02	133.590
0.57828766	1.36688e-01	152.623
1.29184035	1.39581e-02	148.885
1.13552345	9.71518e-02	152.956
0.33695936	1.36947e-01	152.077
0.78269033	1.27457e-01	141.582
1.05245941	7.10129e-02	165.322
0.38378289	4.65289e-02	169.655
0.03457993	5.33279e-02	167.542
0.67694513	2.78125e-02	141.031
0.95828382	1.21217e-01	139.801
0.94234666	9.29615e-02	153.442
0.66731179	7.61081e-02	168.610
0.97300888	1.20527e-02	140.876
1.03650177	7.47655e-02	125.915
0.76772580	1.57460e-01	168.517
1.13081395	1.01591e-02	145.022
1.04339981	1.17133e-01	133.504
0.24758136	9.22128e-02	168.249
0.02846997	1.11039e-01	155.189
0.27210080	1.24338e-01	123.247
1.08876289	1.01469e-01	134.813
1.26640666	8.54959e-02	156.594
0.27846610	3.12278e-02	169.120
0.34555534	1.31281e-01	165.437
1.36318168	5.81635e-02	159.958
0.50540010	1.10606e-01	126.113
0.20970275	1.13009e-01	114.936
0.08450255	9.18406e-02	160.278
0.28075579	1.09114e-01	121.278
0.31818462	9.02749e-02	154.346
0.56862361	3.55117e-02	145.856
0.84927056	6.51722e-02	127.287
0.36750124	7.81209e-02	158.625
0.06556070	8.69603e-02	148.242
1.07266940	2.55444e-02	149.005
0.21093184	1.14890e-01	152.902
0.78619781	6.48052e-02	157.240
0.86205988	1.11584e-01	135.339
0.93104695	2.92716e-02	143.986
0.43265352	9.46074e-02	110.777
0.32134992	1.23938e-01	138.225
1.15202511	3.94586e-02	151.087
0.44454799	3.09889e-02	153.492
0.13269227	3.97266e-02	166.097
0.35929968	1.44649e-01	161.754
1.17787789	6.05289e-02	162.340
0.59956121	7.46039e-02	119.602
0.13488611	1.16701e-01	137.622
0.66274610	1.07403e-01	156.557
0.16806388	3.62598e-02	159.400
1.02801570	7.87970e-02	141.950
0.48964902	8.33207e-02	115.230
0.31377312	1.11062e-01	128.118
0.92005889	9.95571e-02	131.082
0.99502366	3.35156e-02	136.636
1.03236608	8.64870e-02	130.753
0.52065742	3.22883e-02	166.992
0.41238044	1.18821e-01	145.797
0.68691739	1.52303e-01	158.299
0.55489596	6.29851e-02	167.785
1.15754344	2.20267e-02	140.459
1.09879412	7.87060e-02	154.309
0.87512715	8.84252e-02	161.703
0.99657790	5.76996e-02	159.494
0.09447140	1.11706e-01	144.110
0.49967632	1.15091e-01	151.936
0.39366240	7.31675e-02	119.463
0.34020518	4.30803e-02	157.545
0.54405679	4.77137e-02	165.645
0.21665615	8.81968e-02	130.492
0.42431228	8.53358e-02	126.076
0.77773918	1.04591e-01	162.136
0.51929270	7.98147e-02	131.796
0.00289111	4.52412e-02	145.103
0.62238118	4.13635e-02	159.824
0.38508774	4.48966e-02	150.807
0.25849074	7.95500e-02	144.549
0.15378713	1.01946e-01	149.319
0.98594379	8.17240e-02	148.705
0.13110935	1.17003e-01	130.278
0.91949966	7.39702e-02	132.562
0.12503654	7.61969e-02	160.605
0.90885133	6.89218e-02	151.944
0.06623500	7.74199e-02	140.025
1.00571958	4.80479e-02	153.864
0.17101310	9.41940e-02	143.200
0.90265954	3.85844e-02	149.562
0.59320707	5.41974e-02	155.701
0.40778020	5.89954e-02	154.090
0.44605066	1.33776e-01	157.683
0.26761419	1.16631e-01	162.780
1.19506524	3.46055e-02	136.379
0.78012350	6.87952e-02	146.611
1.15452168	5.38941e-02	144.325
0.74940475	4.23153e-02	145.449
0.05992617	6.13476e-02	160.239
1.10532219	3.91332e-02	142.304
1.02752691	5.00151e-02	137.821
0.21569534	4.60659e-02	145.540
0.74223129	6.83015e-02	134.765
0.61055654	1.52154e-01	164.812
0.44208824	8.96700e-02	168.907
0.41881424	1.17927e-01	158.207
0.60467632	1.36457e-01	166.024
0.58138450	1.21299e-01	163.796
0.47795784	1.07811e-01	163.152
0.60090335	9.80972e-02	166.726
0.30118871	1.09903e-01	135.038
0.53633926	9.56818e-02	135.432
0.31166679	7.22174e-02	125.857
0.12031178	1.01671e-01	132.157
0.82865604	5.18728e-02	137.194
0.67828672	7.54843e-02	140.547
0.73690185	7.69470e-02	161.612
0.65330868	8.95422e-02	143.892
0.14712583	5.14936e-02	155.600
0.28897813	6.44584e-02	131.911
0.24886428	9.49306e-02	136.804
0.62080845	5.94200e-02	148.778
0.66590704	9.16528e-02	160.753
0.09717391	5.61115e-02	149.117
0.40106492	8.46186e-02	137.072
0.71565178	5.67432e-02	142.570
0.24042185	7.06430e-02	138.091
0.57311488	8.05574e-02	156.950
0.69250239	8.15900e-02	149.777
0.26188156	7.35892e-02	153.023
0.28497267	6.12542e-02	148.600
0.49473944	8.22470e-02	150.509
0.48227438	8.12742e-02	143.269
0.38041499	6.73685e-02	143.036
0.53032477	5.96432e-02	140.055
